n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
0,6.6626544872536408e-05,2.8195415147074616e-07,0,0,-1.0510381363678878,0,-1.0510381363678949,0,0
1,0.0019761719367803834,5.0789084691702384e-08,0,0,-0.019799973856183678,3.2265856653168612e-15,-0.019799973856191144,0,0
2,0.0027735484474322915,1.4496006374191281e-06,0,0,-0.56079950589052174,-3.4694469519536142e-17,-0.5607995058905022,0,0
3,0.0023776945348135408,3.2214325333062284e-07,0,0,-1.0246910435154639,2.0816681711721685e-17,-1.0246910435154559,0,0
4,0.0001605344371968307,1.0473698317639245e-06,0,0,-0.19433236768965845,2.4633073358870661e-15,-0.19433236768965667,0,0
5,0.00058620056035273919,2.5545317041579264e-06,0,0,-0.13300040202557728,3.677613769070831e-16,-0.1330004020255795,0,0
6,0.0002080368651974243,4.4682781416554089e-07,0,0,-0.75671493971952275,3.4694469519536142e-16,-0.7567149397195263,0,0
7,0.0014546023857179657,1.2167726647526976e-07,0,0,-0.36590579518580113,1.0616507672978059e-15,-0.36590579518581112,0,0
8,1.5701603182168615e-05,4.1716256465777232e-07,0,0,-0.0010237500319982829,3.7470027081099033e-16,-0.0010237500319960624,0,0
9,0.00053494312981025279,5.4503191259247346e-06,0,0,-0.42286265263904244,2.7755575615628914e-16,-0.42286265263904488,0,0
10,3.4197232751885126e-05,1.3990127972936526e-07,0,0,-0.4174397180229803,2.7755575615628914e-17,-0.41743971802298185,0,0
11,0.0036207092543742857,1.4425425230764529e-13,0,0,-0.048283484653551589,-5.5511151231257827e-17,-0.048283484653546038,0,0
12,1.6693497438851721e-05,7.304126644510875e-06,0,0,-0.1628627866549619,5.6898930012039273e-16,-0.16286278665496101,0,0
13,0.00073468407188757097,1.0951693498465057e-06,0,0,-0.347660027686713,-2.688821387764051e-17,-0.34766002768670867,0,0
14,0.00014649780151092763,1.3937984806244941e-07,0,0,-0.14399997798064801,-5.4123372450476381e-16,-0.14399997798064279,0,0
15,0.00051185581955079016,9.8703925580305447e-06,0,0,-0.028938693122009973,6.3837823915946501e-16,-0.028938693122007697,0,0
16,0.0014188660697222457,1.4935533014281418e-06,0,0,-0.21878059981527331,2.4980018054066022e-16,-0.21878059981526721,0,0
17,0.00095358101962325983,5.4917880639666383e-06,0,0,-0.20264160616166982,-5.134781488891349e-16,-0.20264160616165117,0,0
18,2.7482335098249308e-05,6.8387496192476804e-08,0,0,-0.00053523591408499716,1.3877787807814457e-16,-0.00053523591408799476,0,0
19,2.2400986631263048e-06,5.6552921438297908e-07,0,0,-0.098789724528040579,8.3266726846886741e-17,-0.09878972452804069,0,0
20,0.0015747697169989235,9.2458247473936507e-07,0,0,-0.19730895403383575,-5.3429483060085659e-16,-0.19730895403383064,0,0
21,0.00083437001811503147,1.2700236176079131e-05,0,0,-0.026591448628867198,1.0755285551056204e-16,-0.026591448628860759,0,0
22,0.0024291798183738687,1.1678180817707961e-06,0,0,-0.025620983246820495,-1.5265566588595902e-15,-0.025620983246823936,0,0
23,0.00045621385028872405,4.3462084514327727e-07,0,0,-0.14406541431163178,1.2698175844150228e-15,-0.14406541431163,0,0
24,0.00062105840104303013,3.8903446209619469e-06,0,0,-0.061468599619655784,5.8980598183211441e-16,-0.061468599619653785,0,0
25,0.00378484305528176,1.0625708780789955e-05,0,0,-0.00079779620687697728,1.2281842209915794e-15,-0.00079779620687370212,0,0
26,1.4571297092365134e-05,3.1947520868710972e-07,0,0,-0.077103755527542006,8.3266726846886741e-17,-0.077103755527537121,0,0
27,0.00015359294023713411,1.7486688343028207e-06,0,0,-0.079761585718781669,6.591949208711867e-16,-0.079761585718780559,0,0
28,0.0013979689944409849,5.6214516914460438e-06,0,0,-0.0047542160280361068,-7.5633943552588789e-16,-0.0047542160280378276,0,0
29,1.894929261054312e-05,2.4920408758908781e-06,0,0,-0.026233685181337618,0,-0.026233685181337396,0,0
30,0.0011847440609991501,1.83491772001057e-07,0,0,-0.07495724526878611,8.3266726846886741e-17,-0.074957245268783446,0,0
31,0.00012298854014942525,1.4361747300095423e-05,0,0,-0.016816549778119194,-2.2204460492503131e-16,-0.016816549778122969,0,0
32,0.00010638773955309469,9.8170553130300527e-08,0,0,-0.0028671826892504582,-5.5511151231257827e-17,-0.0028671826892482377,0,0
33,0.0011901347572588594,6.6290067998511548e-06,0,0,-0.053881920243490811,5.5511151231257827e-17,-0.053881920243487702,0,0
34,2.1248527766493143e-06,6.2875499179488981e-09,0,0,-0.024709555239831316,0,-0.024709555239833647,0,0
35,0.0013904895585873066,5.5493303623480496e-05,0,0,-0.0011606144440954869,-1.2490009027033011e-16,-0.0011606144440972077,0,0
36,0.00052021708520722995,4.8236270196751053e-06,0,0,-0.029270062140829778,-5.5511151231257827e-17,-0.029270062140831832,0,0
37,0.00026599271348099103,1.9703052978006115e-07,0,0,-0.024404707460563169,2.4980018054066022e-16,-0.024404707460557395,0,0
38,0.00059211300947483044,1.8122236433846467e-06,0,0,-0.0091249925673986543,-1.3444106938820255e-16,-0.0091249925674018462,0,0
39,0.0033522610071888902,2.2060899132029178e-07,0,0,-0.010990987059691598,3.0531133177191805e-16,-0.010990987059688762,0,0
40,0.00039272647130387183,4.3441035750069061e-07,0,0,-0.01770051088213942,-1.5596248251203981e-16,-0.017700510882143528,0,0
41,0.00052016718516588727,2.61152546676644e-06,0,0,-0.017081713804161205,4.163336342344337e-17,-0.017081713804159106,0,0
42,0.0058845008362110526,1.6760412715011331e-09,0,0,-0.0019745675981931721,-7.3725747729014302e-17,-0.0019745675981966415,0,0
43,0.0053045411293733882,2.2073770364327245e-06,0,0,-0.0091766161599345641,0,-0.0091766161599337315,0,0
44,0.0067590095239020882,2.7689923201593493e-05,0,0,-0.020183056947470884,1.6653345369377348e-16,-0.020183056947464917,0,0
45,0.0022687059086252776,6.5636975158499943e-07,0,0,-1.468015956435087e-05,-2.6367796834847468e-16,-1.4680159570124029e-05,0,0
46,3.1712433921449611e-05,1.1124651885443524e-07,0,0,-0.002879466529511765,-3.8857805861880479e-16,-0.0028794665295097666,0,0
47,2.6978046340950768e-06,2.1699829111168026e-08,0,0,-0.017732164134094508,2.4980018054066022e-16,-0.017732164134096284,0,0
48,9.8613958892223219e-05,9.8940770405393165e-07,0,0,-0.0014767572684943886,1.9428902930940239e-16,-0.0014767572684942776,0,0
49,2.3869103656743109e-05,5.6444812253338613e-06,0,0,-0.00024376343245474663,9.1593399531575415e-16,-0.00024376343244836285,0,0
50,4.1634300003909076e-06,9.7443896005279732e-06,0,0,-0.011633166132193784,1.1102230246251565e-15,-0.011633166132199113,0,0
51,1.9643625929226684e-05,1.8594669292666934e-09,0,0,-0.0037383018454356653,2.9143354396410359e-16,-0.0037383018454317796,0,0
52,0.001222978251608725,6.5750465405773584e-06,0,0,-0.00013446794663785067,6.9388939039072284e-16,-0.00013446794663707351,0,0
53,5.5803016503589633e-05,8.684190587289229e-07,0,0,-0.0050709667835806549,-4.3021142204224816e-16,-0.0050709667835819872,0,0
54,9.9973056742038951e-05,1.2842900258540048e-07,0,0,-0.0054773465724976544,-8.4654505627668186e-16,-0.0054773465724968773,0,0
55,0.00011283053655544889,3.0949392357633871e-06,0,0,-0.00068064678978607684,1.2490009027033011e-16,-0.00068064678978396742,0,0
56,0.0053263783152371147,5.633709580470058e-08,0,0,-0.00095325752695862853,4.3715031594615539e-16,-0.00095325752695840649,0,0
57,0.00090022612120724613,2.7140742995728034e-08,0,0,-0.0059314598409712094,-9.7144514654701197e-16,-0.0059314598409736519,0,0
58,0.0012688101516774727,3.224383582568573e-08,0,0,-0.00095747149655966979,-3.4694469519536142e-17,-0.0009574714965592257,0,0
59,0.0011365674655523959,2.8433722428915636e-09,0,0,-2.2137455261805883e-05,9.7144514654701197e-17,-2.2137455267134953e-05,0,0
60,0.00099956254576057113,3.7347643332940381e-06,0,0,-0.004906424192292369,1.4988010832439613e-15,-0.0049064241922904817,0,0
61,0.00026606309008730402,6.446634072345488e-06,0,0,-0.00090106177362586637,8.8817841970012523e-16,-0.00090106177362270223,0,0
62,0.00157494792460274,5.1221263175931382e-05,0,0,-0.0009390782718795565,2.4980018054066022e-16,-0.00093907827187933446,0,0
63,0.0012302361711260079,7.6972567480943283e-06,0,0,-0.0031226663755936357,-2.4980018054066022e-16,-0.0031226663755949957,0,0
64,2.8107686015915834e-05,4.7713589747774952e-06,0,0,-0.00062221010357910167,1.1102230246251565e-16,-0.00062221010357593753,0,0
65,0.0028445355928381094,3.3188427788479146e-06,0,0,-0.0021731927194586637,8.3266726846886741e-17,-0.0021731927194584277,0,0
66,0.01031219027667914,3.5669190884500607e-06,0,0,-0.0015410514827263883,-1.8041124150158794e-16,-0.0015410514827286781,0,0
67,6.4426150066123112e-05,1.9690312642864791e-07,0,0,-0.00026406465026118653,-8.3266726846886741e-17,-0.00026406465026206083,0,0
68,0.0005763812465884408,5.044264399549135e-05,0,0,-0.0029532257105179191,-2.3635607360183997e-17,-0.0029532257105162191,0,0
69,2.4743692429379259e-06,2.0663716267154422e-06,0,0,-0.00058072678863205218,7.3725747729014302e-17,-0.00058072678863292301,0,0
70,0.00068553700788475226,3.0187795297648351e-06,0,0,-2.6812731508854548e-05,-9.7144514654701197e-17,-2.681273150809127e-05,0,0
71,3.5151341922749069e-05,1.2894216921248971e-05,0,0,-0.0030731423634402233,-1.7347234759768071e-16,-0.0030731423634367261,0,0
72,3.1780511464428235e-05,2.833208083481344e-07,0,0,-0.00014630807579216198,-1.2490009027033011e-16,-0.00014630807579668614,0,0
73,1.4532689515378354e-05,2.8626266439886293e-09,0,0,-3.3656413155780385e-05,-3.0531133177191805e-16,-3.3656413157723275e-05,0,0
74,0.00086045654512473355,3.0405575966002825e-05,0,0,-0.0025570580402866361,-2.2204460492503131e-16,-0.0025570580402818344,0,0
75,0.0070468985639715901,7.9787355966031559e-10,0,0,-6.6585156077714203e-06,1.3877787807814457e-17,-6.6585156128784462e-06,0,0
76,0.00015283514067031335,8.0340945832062146e-06,0,0,-0.00017755204063585328,-8.3266726846886741e-17,-0.00017755204063674146,0,0
77,4.3079934605715741e-05,1.5402685121583146e-07,0,0,-0.0015628347994607328,1.3877787807814457e-16,-0.0015628347994602887,0,0
78,0.0041956901747606046,8.8155446868880472e-07,0,0,-4.2967627306267353e-05,-4.163336342344337e-17,-4.2967627302381572e-05,0,0
79,0.0044788826400825078,3.8271176581348379e-07,0,0,-0.00020915201090787594,2.4286128663675299e-16,-0.00020915201090732083,0,0
80,8.1893776840839662e-06,8.1926863331846659e-08,0,0,-0.00051501044468860169,2.8796409701214998e-16,-0.00051501044469248747,0,0
81,2.0114196882951505e-05,6.8886693832361658e-10,0,0,-0.0002704480592907732,4.1286418728248009e-16,-0.00027044805928699844,0,0
82,1.2935627644744834e-07,7.8574200287015641e-06,0,0,-8.5045324094035202e-05,6.7654215563095477e-17,-8.5045324093258046e-05,0,0
83,0.00019744298949455081,2.8701383575924267e-06,0,0,-1.041321317085675e-05,4.8398784979752918e-16,-1.0413213174631508e-05,0,0
84,0.0016695805520213099,7.5840525027588742e-07,0,0,-0.00063082330167885114,1.0527603094834248e-16,-0.0006308233016736331,0,0
85,0.0016653982090761639,5.301404372842154e-06,0,0,-1.8090982329965755e-06,1.7347234759768071e-16,-1.8090982345508877e-06,0,0
86,0.00010575995810832907,2.18168468176011e-06,0,0,-0.00018423826183011638,2.1423834928313568e-16,-0.00018423826182711878,0,0
87,2.0783290671758721e-05,3.4273999130333831e-07,0,0,-0.00086518387437412025,3.1225022567582528e-16,-0.00086518387437761746,0,0
88,2.0431791485187936e-06,1.644754666984168e-07,0,0,-2.7477416924492903e-05,2.7061686225238191e-16,-2.7477416923327169e-05,0,0
89,0.00030739823114434803,1.6043507714356009e-05,0,0,-0.00059741185041789491,8.6736173798840355e-17,-0.00059741185042050393,0,0
90,4.5399073690750364e-06,2.0086813772016477e-06,0,0,-0.00083149366127632796,1.8041124150158794e-16,-0.00083149366127321933,0,0
91,0.0018520562373246854,2.2371134064511696e-08,0,0,-9.3548301360324437e-05,-1.2490009027033011e-16,-9.354830135854808e-05,0,0
