n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
0,6.6626544872536408e-05,2.8195415147074616e-07,0,0,-9.2417975100289596e-05,3.9621084191310274e-15,-28.465733793118307,5.1807912397328191e-12,50
1,0.0019761719052767326,5.0789084691806681e-08,0,0,-0.00080674053454998784,-7.4940054162198066e-16,-0.014935433658727959,1.0566337298985387e-13,50
2,0.0027735483178460258,1.4496006374191281e-06,0,0,-0.002110853396930068,1.4988010832439613e-15,-0.053859699724114307,2.1412285214671787e-13,50
3,0.0023776943520905825,3.2214325333163139e-07,0,0,-0.0037936120204324908,4.801714581503802e-15,-0.11043260419712553,3.0826957188060125e-13,50
4,0.00016053441900360329,1.0473698317530293e-06,0,0,-0.0056154361365283734,1.6653345369377348e-16,-0.17613901488567052,3.9370455835166119e-13,50
5,0.00058620047412867625,2.5545317041510693e-06,0,0,-0.0073635359275545653,4.1078251911130792e-15,-0.24256563262948205,4.6406812467628338e-13,50
6,0.00020803683006998035,4.4682781416554089e-07,0,0,-0.0088868194320577132,2.886579864025407e-15,-0.30305006515792954,5.2091872540968395e-13,50
7,0.0014546021181384779,1.2167726647464936e-07,0,0,-0.010105516301978756,1.5543122344752192e-15,-0.35345350782750629,5.6390062461199727e-13,50
8,1.5701600270311655e-05,4.1716256465097451e-07,0,0,-0.011001097209642374,-4.4408920985006262e-16,-0.39209818883705072,5.9544547087757797e-13,50
9,0.00053494303809058273,5.450319125933011e-06,0,0,-0.01159640592218103,-8.8817841970012523e-16,-0.41917648211740599,6.1693953676213008e-13,50
10,3.4197227771735024e-05,1.3990127973462459e-07,0,0,-0.011934730967083251,-9.1593399531575415e-16,-0.43598154804850464,6.3070464560453649e-13,50
11,0.0036207088749974519,1.4425424964367607e-13,0,0,-0.012062878783417533,-2.6714741530042829e-16,-0.44420902396318235,6.3778420645132421e-13,50
12,1.6693496594625062e-05,7.3041266445012899e-06,0,0,-0.012019835229357623,2.7755575615628914e-16,-0.44544417048099072,6.4020910358778811e-13,50
13,0.00073468408332260499,1.0951693498446581e-06,0,0,-0.011830512415686001,-2.4424906541753444e-15,-0.44084783308121911,6.3779003267314765e-13,50
14,0.00014649781504180463,1.3937984806244941e-07,0,0,-0.011503390057263641,-1.5543122344752192e-15,-0.43100654683579531,6.3206349209669409e-13,50
15,0.00051185591007181183,9.8703925580281002e-06,0,0,-0.011031095483330144,3.5527136788005009e-15,-0.41590647206303455,6.2209924345525654e-13,50
16,0.0014188664470035155,1.4935533014301145e-06,0,0,-0.010393612413326814,-1.5543122344752192e-15,-0.39500871060684872,6.0874701827106051e-13,50
17,0.00095358135506315976,5.4917880639583933e-06,0,0,-0.0095644618623600408,1.7763568394002505e-15,-0.3674281788995426,5.8805678778009665e-13,50
18,2.7482346868015182e-05,6.8387496194311636e-08,0,0,-0.0085205118045834638,-2.1094237467877974e-15,-0.33223598423808909,5.6150369951799735e-13,50
19,2.2400997529840451e-06,5.655292143842599e-07,0,0,-0.0072556806417090058,-6.4392935428259079e-15,-0.28890302147504698,5.2328183170637703e-13,50
20,0.0015747705244024128,9.2458247475618926e-07,0,0,-0.0057973724033661966,7.9936057773011271e-15,-0.23786722082129685,4.7440784681585938e-13,50
21,0.00083437043482826592,1.2700236176090895e-05,0,0,-0.0042220023783805516,-6.8278716014447127e-15,-0.18113204461398169,4.1961519215699366e-13,50
22,0.0024291808812901892,1.16781808177838e-06,0,0,-0.0026631998857737926,1.0047518372857667e-14,-0.12270390581130641,3.480129680309007e-13,50
23,0.00045621399644053226,4.3462084514327727e-07,0,0,-0.0013050250748634085,6.4392935428259079e-15,-0.068600875115102156,2.6551187317156973e-13,50
24,0.00062105849717136903,3.890344620948053e-06,0,0,-0.00035511435634205668,2.6423307986078726e-14,-0.026193592852159497,1.6889408021831845e-13,50
25,0.0037848428603566718,1.0625708780789955e-05,0,0,-8.2871800088923919e-08,-7.1054273576010019e-15,-0.0028344073752393228,6.6209516312333548e-14,50
26,1.4571292974811993e-05,3.1947520868913508e-07,0,0,-0.00035538255039213595,-7.7715611723760958e-15,-0.0040631295500759279,4.7307487653774326e-14,50
