n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
0,6.6626544872536408e-05,2.8195415147074616e-07,0,0,-9.2418128287974355e-05,1.1032841307212493e-15,-28.4657337932715,1.9837680551129209e-08,35
1,0.0019761719052767326,5.0789084691806681e-08,0,0,-0.00080674052319551492,6.5503158452884236e-15,-0.014935442939268739,4.5430780795355591e-10,35
2,0.0027735483178460548,1.4496006374202388e-06,0,0,-0.002110853360475673,-4.9960036108132044e-16,-0.053859699179923837,8.5715025429567823e-10,35
3,0.0023776943520907425,3.2214325333062284e-07,0,0,-0.0037936119494084153,6.4670491184415368e-15,-0.11043260274695399,1.2247454399336234e-09,35
4,0.00016053441900359635,1.0473698317494698e-06,0,0,-0.0056154360264990544,3.9412917374193057e-15,-0.17613901228182982,1.5451038697436795e-09,35
5,0.00058620047412866292,2.5545317041550969e-06,0,0,-0.0073635357788210953,1.1102230246251565e-16,-0.24256562878318633,1.8119490367254844e-09,35
6,0.00020803683006998035,4.4682781416790818e-07,0,0,-0.0088868192487154829,1.1102230246251565e-15,-0.30305006012107327,2.0242353770852282e-09,35
7,0.0014546021181384779,1.2167726647404252e-07,0,0,-0.010105516090177069,2.7755575615628914e-15,-0.35345350175278512,2.1851031111053141e-09,35
8,1.5701600270312739e-05,4.1716256465548835e-07,0,0,-0.011001096976467339,-2.2204460492503131e-16,-0.39209818193267854,2.3004527377716905e-09,35
9,0.00053494303809057959,5.4503191259412865e-06,0,0,-0.011596405674541121,2.6645352591003757e-15,-0.41917647460831597,2.3775102021410466e-09,35
10,3.4197227771733432e-05,1.3990127973462459e-07,0,0,-0.011934730711171709,1.4988010832439613e-15,-0.43598154014977564,2.4235921651229434e-09,35
11,0.0036207088749974602,1.4425425230764529e-13,0,0,-0.012062878524613681,-2.2551405187698492e-16,-0.44420901586718536,2.4451900514960243e-09,35
12,1.6693496594625621e-05,7.3041266445012899e-06,0,0,-0.012019834972309767,-3.3306690738754696e-16,-0.44544416235454032,2.4473803714183414e-09,35
13,0.00073468408332261247,1.0951693498446581e-06,0,0,-0.011830512164427764,1.8873791418627661e-15,-0.44084782507001918,2.4334887188037894e-09,35
14,0.00014649781504181127,1.3937984806115925e-07,0,0,-0.011503389815760601,-1.5543122344752192e-15,-0.43100653907271225,2.4049342075575869e-09,35
15,0.00051185591007179947,9.8703925580214781e-06,0,0,-0.011031095255460865,-1.9984014443252818e-15,-0.41590646467648806,2.3612043361094589e-09,35
