t,q1,v1,delta,q2,v2,bA,bB
0,0.40000000000000002,0,-0.40000000000000002,0,0,0,0
0.01,0.39629706535538844,-0.74058692892232059,-0.3957007448503555,0.00059632050503423861,0.11926410100661844,-5.3379863353772876,-5.3326526826347651
0.02,0.38536972205135561,-1.4448817318842477,-0.38299845739789856,0.002371264653458239,0.23572472867829505,-5.2245100477467847,-5.208634464658215
0.029999999999999999,0.36773558808271178,-2.0819450618445141,-0.36245166497139841,0.005283923111313444,0.3468069628930574,-5.0021712408275585,-4.9761196315995289
0.040000000000000001,0.34417549114031015,-2.6300743266358118,-0.33490674885489058,0.0092687422854207079,0.45015687192824544,-4.6804450308759664,-4.6448037246705818
0.050000000000000003,0.31563235159587899,-3.0785535822504153,-0.30139425525601438,0.01423809633986616,0.5437139389608141,-4.2719264715244236,-4.2274792176444098
0.059999999999999998,0.28310380864943585,-3.4271550070382077,-0.26301838802825223,0.020085420621187816,0.62575091730304011,-3.7908923804367149,-3.7385923221186563
0.070000000000000007,0.24754818080535163,-3.6839705617786334,-0.22085959432619703,0.026688586479157859,0.69488225429116046,-3.2519149573884381,-3.1928544464879236
0.080000000000000002,0.20981614532302645,-3.8624365346864002,-0.17590291228223168,0.03391323304079806,0.75004705803687877,-2.6687418594761558,-2.6041226561752051
0.089999999999999997,0.17061225910788763,-3.978340708341364,-0.12899641548340776,0.041615843624483013,0.79047505870015877,-2.0535524624153982,-1.9846582189380819
0.10000000000000001,0.13048393979592476,-4.0473231540512069,-0.080837499544130248,0.049646440251797888,0.81564426676278112,-1.4166009614358506,-1.3447731216016259
0.11,0.089831966654358997,-4.0830714742619474,-0.031981116200432799,0.05785085045392991,0.82523777366356132,-0.7661899710785075,-0.69280749536947051
0.12,0.048935703703005741,-4.0961811160087027,0.017136861737315337,0.066072565440324943,0.81910522361541604,-0.10888912897038636,-0.035351874565555462
0.13,0.0079871260429690474,-4.0935344159986373,0.066167128368059214,0.074154254411032364,0.79723257052601559,0.55008649448005964,0.62237131812610591
0.14000000000000001,-0.032870699676659176,-4.0780307279270058,0.11480972783752291,0.081939028160867261,0.7597221794410659,1.2064071316554867,1.2760362648318389
0.14999999999999999,-0.073503551127321529,-4.0485395622054652,0.16277511130791339,0.089271560180595746,0.70678422450452849,1.8561170939726683,1.9217012541458913
0.16,-0.11374633871602144,-4.000017955534517,0.20974551791327445,0.095999179197256784,0.63873957882766697,2.4951147785078609,2.5552884322997578
0.17000000000000001,-0.15336548098749719,-3.9238104987606355,0.25533852705583332,0.10197304606834061,0.55603379538891839,3.1186499415153137,3.1720818311644159
0.17999999999999999,-0.19202563145378365,-3.8082195944966575,0.29907515212544999,0.1070495206716716,0.45926112527710428,3.720866855007654,3.7662722242040463
0.19,-0.22926411743751521,-3.6394776022496536,0.34035592683866239,0.11109180940115222,0.34919662061902179,4.2944330683074217,4.3305883978426234
0.20000000000000001,-0.26447774945012359,-3.403248800272026,0.37844970754303914,0.1139719580929198,0.22683311773458331,4.8303094375355702,4.856070270575974
0.20999999999999999,-0.2969275491534889,-3.0867111404010408,0.41250076451194528,0.11557321535845737,0.093418335373513281,5.3177311463830996,5.3320532267639571
0.22,-0.3257665986411275,-2.6810987571266827,0.441559334258952,0.11579273561782497,-0.049514283499977392,5.7444718230417688,5.7464352719313094
0.23000000000000001,-0.35009380684045754,-2.1843428827393279,0.46463832854612225,0.1145445217056681,-0.20012849893204712,6.0974424575864488,6.0862780929542453
0.23999999999999999,-0.3690315463490989,-1.603205018988946,0.48079397818431141,0.1117624318352176,-0.35628947515839798,6.3636258847636498,6.3387421164842728
0.25,-0.38181847545966097,-0.95418080312346432,0.48922148502626628,0.10740300956660626,-0.51559497856312209,6.5312685935097239,6.492276735368792
0.26000000000000001,-0.38790237019612939,-0.26259814417021571,0.489350227250688,0.1014478570545588,-0.67543552384629324,6.5911628292868816,6.5378983259536199
0.27000000000000002,-0.38701426010892742,0.44022016161060612,0.48091953866374648,0.093905278554821697,-0.83308017610171103,6.537785997600162,6.4703231245959758
0.28000000000000003,-0.3792069701176905,1.1212378366367803,0.46401795131204859,0.084810981194360299,-0.98577929599050662,6.370056045871376,6.2887141774490258
0.28999999999999998,-0.36484871428107307,1.7504133306867078,0.43907644096949816,0.07422772668842631,-1.1308716051961321,6.0915283785712306,5.9968688725774406
