n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
0,6.6626544872536408e-05,2.8195415147074616e-07,0,0,-0.044195467571448432,7.3205330686221259e-16,-27.511687575082803,1.3760151749749676,3
1,0.001976171911496571,5.0789084691904203e-08,0,0,-0.00060671022546365805,3.677613769070831e-15,-0.78605234087879694,0.25010739344625521,3
2,0.0027735483425812084,1.4496006374180175e-06,0,0,-0.0022554595425106072,5.8286708792820718e-16,-0.0029101698112903307,0.0070507679289278377,3
3,0.002377694391330482,3.2214325333163139e-07,0,0,-0.0022564095666082196,3.2751579226442118e-15,-0.10798519117821925,0.084827264045251663,3
4,0.00016053442295966246,1.0473698317565887e-06,0,0,-0.0036669631520869217,2.1094237467877974e-15,-0.12418058448042757,0.0895162463929947,3
5,0.00058620049296570639,2.5545317041579264e-06,0,0,-0.0046743526598733709,1.8318679906315083e-15,-0.17876517638515921,0.10783911965968554,3
6,0.0002080368379571652,4.4682781416790818e-07,0,0,-0.0056223269647417418,5.5511151231257827e-16,-0.21860444143216284,0.11924509966663091,3
7,0.001454602178035712,1.2167726647343567e-07,0,0,-0.0063549858916123192,2.2204460492503131e-16,-0.25348492952513091,0.1284790530396471,3
8,1.5701600920818793e-05,4.1716256465777232e-07,0,0,-0.0068920926316913267,4.4408920985006262e-16,-0.2794126296264432,0.13494055940777488,3
9,0.00053494305860274339,5.4503191259247346e-06,0,0,-0.0072454098948564472,2.2204460492503131e-16,-0.29746222651188869,0.13928470119986913,3
10,3.4197228860760771e-05,1.3990127973985679e-07,0,0,-0.0074462313602674801,-5.2735593669694936e-16,-0.30853502480205519,0.14190740779081548,3
11,0.0036207089545501779,1.4425425230764529e-13,0,0,-0.0075254299947211094,3.9898639947466563e-16,-0.31396844553059267,0.1432073778100737,3
12,1.6693496743818724e-05,7.3041266444917049e-06,0,0,-0.0075086610976193083,-4.163336342344337e-17,-0.31493196784221456,0.14348468538576889,3
13,0.0007346840782108113,1.0951693498502009e-06,0,0,-0.0074120916749794152,7.2164496600635175e-16,-0.31227174630445287,0.14293679780131183,3
14,0.00014649781135463914,1.3937984806244941e-07,0,0,-0.0072410358066227198,-4.4408920985006262e-16,-0.30639785813045961,0.14164677451505095,3
15,0.00051185588708756364,9.8703925580239226e-06,0,0,-0.0069901437293187207,2.4424906541753444e-15,-0.29726769467514647,0.13958203448536702,3
16,0.0014188663547912142,1.4935533014295671e-06,0,0,-0.0066450954556511732,-7.7715611723760958e-16,-0.28443056080378604,0.13659739712894761,3
17,0.00095358127513945896,5.4917880639666383e-06,0,0,-0.0061860155186108656,-1.9984014443252818e-15,-0.26714036780680317,0.13244402972208072,3
18,2.748234413752991e-05,6.8387496193387444e-08,0,0,-0.0055931395348229884,5.5511151231257827e-16,-0.24455334901362491,0.12678661881545564,3
19,2.2400995083413766e-06,5.6552921438297908e-07,0,0,-0.0048551170136734711,-4.6074255521943996e-15,-0.21603060672164531,0.11923255887694793,3
20,0.0015747703498742321,9.2458247474615975e-07,0,0,-0.0039795495317829221,9.4368957093138306e-16,-0.18154370953404353,0.10937670608037964,3
