t,q1,v1,delta,q2,v2,bA,bB
0,0.40000000000000002,0,-0.40000000000000002,0,0,0,0
0.01,0.39633307488917002,-0.73338502216600254,-0.30598354657758703,0.00052950530471309047,0.10590106094245988,-5.0873801822971139,-4.7351514157419485
0.02,0.38553306977729773,-1.4266160002084536,-0.31699908309338265,0.0020490190316444202,0.19800168444362035,-4.0876903302612018,-4.1192768210240853
0.029999999999999999,0.36812535096830917,-2.054927761589262,-0.29576015872893058,0.0044861263939186087,0.28941978801096818,-4.1157747081213829,-4.0957090903211144
0.040000000000000001,0.3448722654589414,-2.5956893402842951,-0.27451676179930334,0.0078026523478119635,0.37388540276779531,-3.8046708604434052,-3.7969333529710414
0.050000000000000003,0.31670073499616908,-3.0386167522701659,-0.24743553896269641,0.011925200943806155,0.45062431643119916,-3.4813476088176376,-3.4685729778775207
0.059999999999999998,0.28459089651879865,-3.3833509432039217,-0.21685988636219172,0.016768819129355191,0.51809932067862641,-3.0906350007665111,-3.0761148308359663
0.070000000000000007,0.24948523716552062,-3.6377809274516819,-0.1833268370982076,0.022235712068489236,0.57527926714808308,-2.6587556815157822,-2.6417372356209792
0.080000000000000002,0.21222098114249455,-3.8150702771535352,-0.1476757897317843,0.028218800447097441,0.62133840857343481,-2.1932890931873659,-2.1740948892829426
0.089999999999999997,0.17349180215976451,-3.9307655193924704,-0.11054873051165984,0.034603934499289009,0.6556884018648409,-1.7043031877150563,-1.6832180952933329
0.10000000000000001,0.1338362189121752,-4.0003511301253907,-0.072481921097536053,0.041272026804031789,0.67793005908367832,-1.1994217309235988,-1.1769362932895593
0.11,0.093647064042940778,-4.0374798437214929,-0.033891167385625899,0.048100781192054458,0.68782081852087507,-0.68485121603797183,-0.66159368351096237
0.12,0.053195428306249501,-4.0528473036167627,0.004904270476839616,0.05496609839830767,0.68524262272975711,-0.16535596470321953,-0.14207763335560827
0.13,0.01266333412202955,-4.0535715332272257,0.04365646034431446,0.061743197904881371,0.67017727858495524,0.355378392256047,0.3778383824429396
0.14000000000000001,-0.027819084187065458,-4.0429121285917748,0.082158646451035031,0.068307534233768244,0.64268998719236825,0.87437263815812205,0.89512279895845981
0.14999999999999999,-0.068134644630508334,-4.020199960096801,0.12021396357394641,0.07453559418128676,0.60292200231136361,1.3889384228185735,1.4070723996949008
0.16,-0.10814021136334391,-3.9809133864703137,0.15760418617111865,0.08030566701610882,0.5510925646529683,1.8962587490386229,1.9108929847837881
0.17000000000000001,-0.14762933651599564,-3.9169116440600305,0.19405990027915776,0.08549867923227579,0.48750987858042516,2.3929795979719155,2.4032907851809764
0.17999999999999999,-0.18629842337047373,-3.8169057268355897,0.22923379832474619,0.089999180691717112,0.41259041330793084,2.8748342198845553,2.8800957672671812
0.19,-0.22371943626264854,-3.6672968515993722,0.26267969354323301,0.093696558476706285,0.32688514368983679,3.3363301110913466,3.3359461541044482
0.20000000000000001,-0.25932352864053021,-3.4535216239769602,0.29384094195761579,0.096486536092206546,0.23111037941056772,3.770542585245038,3.764076918823001
0.20999999999999999,-0.29240106021814316,-3.1619846915456322,0.32205281722965501,0.098272985890018039,0.12617958015181777,4.169071731610952,4.1562678348695741
0.22,-0.32212354455474984,-2.7825121757756994,0.34656334747103001,0.098970039777842952,0.013231197413103753,4.5222239556289434,4.5030115379515472
0.23000000000000001,-0.34759124394559443,-2.3110277023932153,0.36657548488063785,0.098504428296954952,-0.10635349359066126,4.8194658593962227,4.7939497671649773
0.23999999999999999,-0.36790586021886457,-1.7518955522608073,0.38130981346675319,0.096817916551229594,-0.23094885555410061,5.0501596447177421,5.0185891200557444
0.25,-0.38226139319474328,-1.1192110429149396,0.3900816387907875,0.093869648314278839,-0.35870479183645082,5.2045258727102768,5.1672461578629383
0.26000000000000001,-0.39003938717006931,-0.43638775215026554,0.39238066192391391,0.089638172131300792,-0.48759044475867558,5.2747045781885378,5.2320979372412522
0.27000000000000002,-0.39089017348226468,0.26623048971119051,0.38793779884363816,0.08412292047414148,-0.61545988667259999,5.2557256509384249,5.2081533134150915
0.28000000000000003,-0.38478202206520928,0.95539979369989025,0.37676425115605827,0.077344953834048616,-0.74013344134594827,5.1461842367412105,5.0939424476904991
0.28999999999999998,-0.37200637188354607,1.5997302426327493,0.35915341466323175,0.069346863170127962,-0.85948469143807082,4.9484646335113451,4.8917655260764503
0.29999999999999999,-0.35313787335288116,2.1739694635002316,0.3356451328477596,0.060191830413899201,-0.97152185980774108,4.6684585613160694,4.6074402827521306
0.31,-0.32895901413801992,2.6618023794720114,0.30696091080425042,0.049961953130986878,-1.0744535967744937,4.3148460165778442,4.2496086310022081
0.32000000000000001,-0.30036653091824517,3.0566942644829393,0.27392464854188858,0.038756021300109487,-1.166732769400834,3.8981041455350049,3.8287613302810319
0.33000000000000002,-0.26827840728699204,3.3609304617676901,0.23738450211997042,0.026686975450742785,-1.2470764004723542,3.4294495435606049,3.3561832620834298
0.34000000000000002,-0.2335565164725471,3.5834477011212966,0.19814817246171737,0.013879273128167797,-1.3144640640426155,2.9198974095550261,2.8430040339338309
0.35000000000000003,-0.19695334206604614,3.7371871801788963,0.15693835385278823,0.00046635357849039754,-1.3681198458929533,2.3795573824325764,2.2994778666655167
0.35999999999999999,-0.15908452953162286,3.8365753267057578,0.11436957746245376,-0.013411666256737838,-1.4074841211526192,1.81721113968245,1.7345427647463956
0.37,-0.12042420422627549,3.895489734363716,0.070943789769007393,-0.027609992637287285,-1.4321811549572669,1.240155901180048,1.1556471049848374
0.38,-0.081317636350194317,3.9258238408525195,0.027060147655886695,-0.041980835630274778,-1.4419874436402136,0.65426242217296082,0.56879447665951766
0.39000000000000001,-0.042005536317252609,3.9365961657358208,-0.01696567647770959,-0.056374794514525879,-1.4368043332099525,0.064185002404391581,-0.021255142483074169
0.40000000000000002,-0.0026551922881103683,3.933472640092627,-0.060876600787667136,-0.070642002013180577,-1.4166371665209203,-0.52633328834478843,-0.6106852650868112
0.41000000000000003,0.036604995468322347,3.9185649111939158,-0.1044464737563038,-0.084633098878777555,-1.3815822065984054,-1.1141037000287508,-1.1962684530385399
0.41999999999999998,0.075649848830812716,3.8904057613041569,-0.14745152194970548,-0.098200119318524293,-1.3318218813509171,-1.6961131484756642,-1.7749885760856849
0.42999999999999999,0.11432218603564441,3.8440616796621825,-0.18964223735627483,-0.11119737077223006,-1.2676284093902381,-2.2691443430552041,-2.3436610381574337
0.44,0.1523995251011773,3.771406133444394,-0.23071699508642438,-0.12348239012815271,-1.1893754617944112,-2.8294120799633,-2.89856860915366
0.45000000000000001,0.18956472035567454,3.661632917455055,-0.27029913464575867,-0.13491705265624174,-1.0975570438231919,-3.3722365568755404,-3.435133449560368
0.46000000000000002,0.22538350162878026,3.5021233371660903,-0.30792003711141031,-0.14536889847727916,-0.9928121203843896,-3.8917835146695392,-3.9476544077949187
0.47000000000000003,0.2592929945120363,3.279775239485121,-0.34301162427019072,-0.15471272206053777,-0.87595259626717958,-4.380912637937981,-4.429150016389908
0.47999999999999998,0.29060604401470064,2.9828346610477463,-0.37491226635862718,-0.16283244073972214,-0.74799113956946628,-4.8311850734806692,-4.8713570869348191
0.48999999999999999,0.3185358610314844,2.6031287423090106,-0.40288974559432855,-0.16962321742906894,-0.61016419829993029,-5.233081249718353,-5.2649356588235712
0.5,0.3422434806722171,2.1383951858375325,-0.42618312972228012,-0.17499376225736768,-0.46394476736012125,-5.5764638376420086,-5.5999158099051858
