n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
0,6.6626544872536408e-05,2.8195415147074616e-07,0,0,-0.00012351102122032387,5.5060123127503857e-15,-28.462319795091986,0.045619395289961395,8
1,0.0019761719046342053,5.0789084691904203e-08,0,0,-0.00081294076037607965,4.5102810375396984e-15,-0.00095172847122881876,0.00015617899491165275,8
2,0.002773548315066667,1.4496006374191281e-06,0,0,-0.0022078686158319982,-3.1641356201816961e-15,-0.054378538000339205,0.0019378324498380531,8
3,0.0023776943474956287,3.2214325333163139e-07,0,0,-0.0039847276286621991,5.3013149425851225e-15,-0.11444068746288849,0.0028248581354854696,8
4,0.00016053441852827548,1.047369831760365e-06,0,0,-0.0059120402886900791,-8.3266726846886741e-16,-0.18341681815417843,0.0035853298315771083,8
5,0.0005862004718268746,2.5545317041550969e-06,0,0,-0.0077647619318668148,4.6629367034256575e-15,-0.25334325229532695,0.0042206836057889731,8
6,0.0002080368290949276,4.4682781416554089e-07,0,0,-0.0093818810266341757,3.1086244689504383e-15,-0.31718599305041373,0.0047282854119266582,8
7,0.001454602110674898,1.2167726647464936e-07,0,0,-0.01067764335459831,1.3322676295501878e-15,-0.37052050026419536,0.0051151121898763679,8
8,1.5701600188865978e-05,4.1716256465548835e-07,0,0,-0.011631192800364509,1.1102230246251565e-15,-0.41151053745109945,0.0053947353071133611,8
9,0.00053494303551796104,5.450319125933011e-06,0,0,-0.012265708048911694,5.5511151231257827e-16,-0.44030000253043089,0.005583921034181258,8
10,3.4197227635545109e-05,1.3990127973462459e-07,0,0,-0.012626299697681392,1.6653345369377348e-16,-0.45820851081354896,0.0056997202664758875,8
11,0.0036207088651827942,1.4425424697970683e-13,0,0,-0.012762069813436742,2.1250362580715887e-16,-0.46699604742210377,0.0057573072949695416,8
12,1.6693496577558866e-05,7.304126644510875e-06,0,0,-0.012714060305350883,8.3266726846886741e-17,-0.46832006437555207,0.0057685672598591867,8
